chunk_idx,sample_idx,min_value,max_value
39,3,-2390.871059237361,4044.2920571546215
39,4,-2390.871059237361,4044.2920571546215
40,0,-2418.100261619337,4014.675003816592
40,1,-2418.100261619337,4014.675003816592
40,2,-2418.100261619337,4014.675003816592
40,3,-2418.100261619337,4014.675003816592
40,4,-2418.100261619337,4014.675003816592
41,0,-3050.253016749232,4354.560143251126
41,1,-3050.253016749232,4354.560143251126
41,2,-3050.253016749232,4354.560143251126
41,3,-3050.253016749232,4354.560143251126
41,4,-3050.253016749232,4354.560143251126
42,0,-3762.1131985468905,5349.673275719746
42,1,-3762.1131985468905,5349.673275719746
42,2,-3762.1131985468905,5349.673275719746
42,3,-3762.1131985468905,5349.673275719746
42,4,-3762.1131985468905,5349.673275719746
43,0,-2878.346690886639,4454.140531016819
43,1,-2878.346690886639,4454.140531016819
43,2,-2878.346690886639,4454.140531016819
43,3,-2878.346690886639,4454.140531016819
43,4,-2878.346690886639,4454.140531016819
44,0,-3552.810920801545,4446.495599877855
44,1,-3552.810920801545,4446.495599877855
44,2,-3552.810920801545,4446.495599877855
44,3,-3552.810920801545,4446.495599877855
44,4,-3552.810920801545,4446.495599877855
45,0,-2734.4970618648085,4786.999653557536
45,1,-2734.4970618648085,4786.999653557536
45,2,-2734.4970618648085,4786.999653557536
45,3,-2734.4970618648085,4786.999653557536
45,4,-2734.4970618648085,4786.999653557536
46,0,-2479.6042239883777,4951.755390404791
46,1,-2479.6042239883777,4951.755390404791
46,2,-2479.6042239883777,4951.755390404791
46,3,-2479.6042239883777,4951.755390404791
46,4,-2479.6042239883777,4951.755390404791
47,0,-3699.297361130337,4414.69049535446
47,1,-3699.297361130337,4414.69049535446
47,2,-3699.297361130337,4414.69049535446
47,3,-3699.297361130337,4414.69049535446
47,4,-3699.297361130337,4414.69049535446
48,0,-2625.6342940268223,5006.233341625883
48,1,-2625.6342940268223,5006.233341625883
48,2,-2625.6342940268223,5006.233341625883
48,3,-2625.6342940268223,5006.233341625883
48,4,-2625.6342940268223,5006.233341625883
49,0,-3490.310035521428,4751.383564535869
49,1,-3490.310035521428,4751.383564535869
49,2,-3490.310035521428,4751.383564535869
49,3,-3490.310035521428,4751.383564535869
49,4,-3490.310035521428,4751.383564535869
50,0,-2378.636615530643,4189.162359893643
50,1,-2378.636615530643,4189.162359893643
50,2,-2378.636615530643,4189.162359893643
50,3,-2378.636615530643,4189.162359893643
50,4,-2378.636615530643,4189.162359893643
51,0,-2604.309863424972,4292.879439673368
51,1,-2604.309863424972,4292.879439673368
51,2,-2604.309863424972,4292.879439673368
51,3,-2604.309863424972,4292.879439673368
51,4,-2604.309863424972,4292.879439673368
52,0,-2586.780487763081,4407.644974305528
52,1,-2586.780487763081,4407.644974305528
52,2,-2586.780487763081,4407.644974305528
52,3,-2586.780487763081,4407.644974305528
52,4,-2586.780487763081,4407.644974305528
53,0,-2472.3889922072003,4585.156631035126
53,1,-2472.3889922072003,4585.156631035126
53,2,-2472.3889922072003,4585.156631035126
53,3,-2472.3889922072003,4585.156631035126
53,4,-2472.3889922072003,4585.156631035126
54,0,-2574.367680302816,4602.577307551521
54,1,-2574.367680302816,4602.577307551521
54,2,-2574.367680302816,4602.577307551521
54,3,-2574.367680302816,4602.577307551521
54,4,-2574.367680302816,4602.577307551521
55,0,-2919.104708918752,4405.9933280502455
55,1,-2919.104708918752,4405.9933280502455
55,2,-2919.104708918752,4405.9933280502455
55,3,-2919.104708918752,4405.9933280502455
55,4,-2919.104708918752,4405.9933280502455
56,0,-3065.7259816810024,4667.343052744988
56,1,-3065.7259816810024,4667.343052744988
56,2,-3065.7259816810024,4667.343052744988
56,3,-3065.7259816810024,4667.343052744988
56,4,-3065.7259816810024,4667.343052744988
57,0,-2879.3025566506217,5077.883190348963
57,1,-2879.3025566506217,5077.883190348963
57,2,-2879.3025566506217,5077.883190348963
57,3,-2879.3025566506217,5077.883190348963
57,4,-2879.3025566506217,5077.883190348963
58,0,-3218.3854391111417,4584.260495255016
58,1,-3218.3854391111417,4584.260495255016
58,2,-3218.3854391111417,4584.260495255016
58,3,-3218.3854391111417,4584.260495255016
58,4,-3218.3854391111417,4584.260495255016
59,0,-2825.139619079019,4762.178941678889
59,1,-2825.139619079019,4762.178941678889
59,2,-2825.139619079019,4762.178941678889
59,3,-2825.139619079019,4762.178941678889
59,4,-2825.139619079019,4762.178941678889
60,0,-3193.455200385112,5319.712746095289
60,1,-3193.455200385112,5319.712746095289
60,2,-3193.455200385112,5319.712746095289
60,3,-3193.455200385112,5319.712746095289
60,4,-3193.455200385112,5319.712746095289
61,0,-4272.273662606544,5951.1983213736485
61,1,-4272.273662606544,5951.1983213736485
61,2,-4272.273662606544,5951.1983213736485
61,3,-4272.273662606544,5951.1983213736485
61,4,-4272.273662606544,5951.1983213736485
62,0,-3258.100062281853,4819.0716194045835
62,1,-3258.100062281853,4819.0716194045835
62,2,-3258.100062281853,4819.0716194045835
62,3,-3258.100062281853,4819.0716194045835
62,4,-3258.100062281853,4819.0716194045835
63,0,-3613.031326817656,5182.976951755124
63,1,-3613.031326817656,5182.976951755124
63,2,-3613.031326817656,5182.976951755124
63,3,-3613.031326817656,5182.976951755124
63,4,-3613.031326817656,5182.976951755124
64,0,-3350.661204941709,5390.061372979628
64,1,-3350.661204941709,5390.061372979628
64,2,-3350.661204941709,5390.061372979628
64,3,-3350.661204941709,5390.061372979628
64,4,-3350.661204941709,5390.061372979628
65,0,-3198.227807134614,6371.953935653642
65,1,-3198.227807134614,6371.953935653642
65,2,-3198.227807134614,6371.953935653642
65,3,-3198.227807134614,6371.953935653642
65,4,-3198.227807134614,6371.953935653642
66,0,-4934.738918673867,5290.535003637832
66,1,-4934.738918673867,5290.535003637832
66,2,-4934.738918673867,5290.535003637832
66,3,-4934.738918673867,5290.535003637832
66,4,-4934.738918673867,5290.535003637832
67,0,-4319.017169678382,5432.992288457384
67,1,-4319.017169678382,5432.992288457384
67,2,-4319.017169678382,5432.992288457384
67,3,-4319.017169678382,5432.992288457384
67,4,-4319.017169678382,5432.992288457384
68,0,-2899.1150558033005,4660.253185199992
68,1,-2899.1150558033005,4660.253185199992
68,2,-2899.1150558033005,4660.253185199992
68,3,-2899.1150558033005,4660.253185199992
68,4,-2899.1150558033005,4660.253185199992
69,0,-3327.4388112971706,5570.930624671929
69,1,-3327.4388112971706,5570.930624671929
69,2,-3327.4388112971706,5570.930624671929
69,3,-3327.4388112971706,5570.930624671929
69,4,-3327.4388112971706,5570.930624671929
70,0,-3471.678070958501,5630.332415345512
70,1,-3471.678070958501,5630.332415345512
70,2,-3471.678070958501,5630.332415345512
70,3,-3471.678070958501,5630.332415345512
70,4,-3471.678070958501,5630.332415345512
71,0,-3946.8415324777225,6215.836401245372
71,1,-3946.8415324777225,6215.836401245372
71,2,-3946.8415324777225,6215.836401245372
71,3,-3946.8415324777225,6215.836401245372
71,4,-3946.8415324777225,6215.836401245372
72,0,-4045.4183010410616,6382.200498448548
72,1,-4045.4183010410616,6382.200498448548
72,2,-4045.4183010410616,6382.200498448548
72,3,-4045.4183010410616,6382.200498448548
72,4,-4045.4183010410616,6382.200498448548
73,0,-3539.077014674,6103.836234219048
73,1,-3539.077014674,6103.836234219048
73,2,-3539.077014674,6103.836234219048
73,3,-3539.077014674,6103.836234219048
73,4,-3539.077014674,6103.836234219048
74,0,-3837.536891308685,6378.794535872659
74,1,-3837.536891308685,6378.794535872659
74,2,-3837.536891308685,6378.794535872659
74,3,-3837.536891308685,6378.794535872659
74,4,-3837.536891308685,6378.794535872659
75,0,-3887.4888704919354,7011.8355901566965
75,1,-3887.4888704919354,7011.8355901566965
75,2,-3887.4888704919354,7011.8355901566965
75,3,-3887.4888704919354,7011.8355901566965
75,4,-3887.4888704919354,7011.8355901566965
76,0,-4347.84888858346,6808.247376651091
76,1,-4347.84888858346,6808.247376651091
76,2,-4347.84888858346,6808.247376651091
76,3,-4347.84888858346,6808.247376651091
76,4,-4347.84888858346,6808.247376651091
77,0,-3861.1510490710666,6276.529736035207
77,1,-3861.1510490710666,6276.529736035207
77,2,-3861.1510490710666,6276.529736035207
77,3,-3861.1510490710666,6276.529736035207
77,4,-3861.1510490710666,6276.529736035207
78,0,-4506.1954575783,6233.361934415508
78,1,-4506.1954575783,6233.361934415508
78,2,-4506.1954575783,6233.361934415508
78,3,-4506.1954575783,6233.361934415508
78,4,-4506.1954575783,6233.361934415508
79,0,-4332.147680749648,6504.942609419715
79,1,-4332.147680749648,6504.942609419715
79,2,-4332.147680749648,6504.942609419715
79,3,-4332.147680749648,6504.942609419715
79,4,-4332.147680749648,6504.942609419715
80,0,-4072.6860558307894,7253.48172171138
80,1,-4072.6860558307894,7253.48172171138
80,2,-4072.6860558307894,7253.48172171138
80,3,-4072.6860558307894,7253.48172171138
80,4,-4072.6860558307894,7253.48172171138
81,0,-4096.654263409087,5836.5902598381035
81,1,-4096.654263409087,5836.5902598381035
81,2,-4096.654263409087,5836.5902598381035
81,3,-4096.654263409087,5836.5902598381035
81,4,-4096.654263409087,5836.5902598381035
82,0,-3924.7150148810792,6237.659711931308
82,1,-3924.7150148810792,6237.659711931308
82,2,-3924.7150148810792,6237.659711931308
82,3,-3924.7150148810792,6237.659711931308
82,4,-3924.7150148810792,6237.659711931308
83,0,-3535.8063636094817,5674.170478892469
83,1,-3535.8063636094817,5674.170478892469
83,2,-3535.8063636094817,5674.170478892469
83,3,-3535.8063636094817,5674.170478892469
83,4,-3535.8063636094817,5674.170478892469
84,0,-3588.263420101066,5782.484513550992
84,1,-3588.263420101066,5782.484513550992
84,2,-3588.263420101066,5782.484513550992
84,3,-3588.263420101066,5782.484513550992
84,4,-3588.263420101066,5782.484513550992
85,0,-5142.50767023757,5539.644013770789
85,1,-5142.50767023757,5539.644013770789
85,2,-5142.50767023757,5539.644013770789
85,3,-5142.50767023757,5539.644013770789
85,4,-5142.50767023757,5539.644013770789
86,0,-3866.4499180383286,6841.905854185843
86,1,-3866.4499180383286,6841.905854185843
86,2,-3866.4499180383286,6841.905854185843
86,3,-3866.4499180383286,6841.905854185843
86,4,-3866.4499180383286,6841.905854185843
87,0,-3710.5712887307145,6310.852343631681
87,1,-3710.5712887307145,6310.852343631681
87,2,-3710.5712887307145,6310.852343631681
87,3,-3710.5712887307145,6310.852343631681
87,4,-3710.5712887307145,6310.852343631681
88,0,-3991.4989869808815,5563.1232778666445
88,1,-3991.4989869808815,5563.1232778666445
88,2,-3991.4989869808815,5563.1232778666445
88,3,-3991.4989869808815,5563.1232778666445
88,4,-3991.4989869808815,5563.1232778666445
89,0,-3526.2561642638225,6422.118409266092
89,1,-3526.2561642638225,6422.118409266092
89,2,-3526.2561642638225,6422.118409266092
89,3,-3526.2561642638225,6422.118409266092
89,4,-3526.2561642638225,6422.118409266092
90,0,-3410.515964445649,5404.606730848853
90,1,-3410.515964445649,5404.606730848853
90,2,-3410.515964445649,5404.606730848853
90,3,-3410.515964445649,5404.606730848853
90,4,-3410.515964445649,5404.606730848853
91,0,-4110.67245950768,5229.213429433469
91,1,-4110.67245950768,5229.213429433469
91,2,-4110.67245950768,5229.213429433469
91,3,-4110.67245950768,5229.213429433469
91,4,-4110.67245950768,5229.213429433469
92,0,-3996.7315824805937,5164.605382286849
92,1,-3996.7315824805937,5164.605382286849
92,2,-3996.7315824805937,5164.605382286849
92,3,-3996.7315824805937,5164.605382286849
92,4,-3996.7315824805937,5164.605382286849
93,0,-3019.54981564478,4971.542372535657
93,1,-3019.54981564478,4971.542372535657
93,2,-3019.54981564478,4971.542372535657
93,3,-3019.54981564478,4971.542372535657
93,4,-3019.54981564478,4971.542372535657
94,0,-3423.757453642149,5388.056024864219
94,1,-3423.757453642149,5388.056024864219
94,2,-3423.757453642149,5388.056024864219
94,3,-3423.757453642149,5388.056024864219
94,4,-3423.757453642149,5388.056024864219
95,0,-3683.737241531396,5856.3284737205995
95,1,-3683.737241531396,5856.3284737205995
95,2,-3683.737241531396,5856.3284737205995
95,3,-3683.737241531396,5856.3284737205995
95,4,-3683.737241531396,5856.3284737205995
96,0,-2960.309158075751,5075.123124347953
96,1,-2960.309158075751,5075.123124347953
96,2,-2960.309158075751,5075.123124347953
96,3,-2960.309158075751,5075.123124347953
96,4,-2960.309158075751,5075.123124347953
97,0,-3243.814925472176,5166.532743617156
97,1,-3243.814925472176,5166.532743617156
97,2,-3243.814925472176,5166.532743617156
97,3,-3243.814925472176,5166.532743617156
97,4,-3243.814925472176,5166.532743617156
98,0,-3372.182938987005,5821.173396348822
98,1,-3372.182938987005,5821.173396348822
98,2,-3372.182938987005,5821.173396348822
98,3,-3372.182938987005,5821.173396348822
98,4,-3372.182938987005,5821.173396348822
99,0,-4134.327638107252,5663.251635742393
99,1,-4134.327638107252,5663.251635742393
99,2,-4134.327638107252,5663.251635742393
99,3,-4134.327638107252,5663.251635742393
99,4,-4134.327638107252,5663.251635742393
100,0,-2604.2608794268144,4513.750095226309
100,1,-2604.2608794268144,4513.750095226309
100,2,-2604.2608794268144,4513.750095226309
100,3,-2604.2608794268144,4513.750095226309
100,4,-2604.2608794268144,4513.750095226309
101,0,-3302.5490950702733,5318.22538827156
101,1,-3302.5490950702733,5318.22538827156
101,2,-3302.5490950702733,5318.22538827156
101,3,-3302.5490950702733,5318.22538827156
101,4,-3302.5490950702733,5318.22538827156
102,0,-5588.571798965527,6776.62793175494
102,1,-5588.571798965527,6776.62793175494
102,2,-5588.571798965527,6776.62793175494
102,3,-5588.571798965527,6776.62793175494
102,4,-5588.571798965527,6776.62793175494
103,0,-3463.2447043757516,5385.577802660114
103,1,-3463.2447043757516,5385.577802660114
103,2,-3463.2447043757516,5385.577802660114
103,3,-3463.2447043757516,5385.577802660114
103,4,-3463.2447043757516,5385.577802660114
104,0,-4262.465040735785,3980.2146790035745
104,1,-4262.465040735785,3980.2146790035745
104,2,-4262.465040735785,3980.2146790035745
104,3,-4262.465040735785,3980.2146790035745
104,4,-4262.465040735785,3980.2146790035745
105,0,-3684.736826671719,4641.830069983681
105,1,-3684.736826671719,4641.830069983681
105,2,-3684.736826671719,4641.830069983681
105,3,-3684.736826671719,4641.830069983681
105,4,-3684.736826671719,4641.830069983681
106,0,-4079.751335516733,4370.886389066616
106,1,-4079.751335516733,4370.886389066616
106,2,-4079.751335516733,4370.886389066616
106,3,-4079.751335516733,4370.886389066616
106,4,-4079.751335516733,4370.886389066616
107,0,-2526.3383819026776,4699.227408851104
107,1,-2526.3383819026776,4699.227408851104
107,2,-2526.3383819026776,4699.227408851104
107,3,-2526.3383819026776,4699.227408851104
107,4,-2526.3383819026776,4699.227408851104
108,0,-3183.848138281762,4771.837722131428
108,1,-3183.848138281762,4771.837722131428
108,2,-3183.848138281762,4771.837722131428
108,3,-3183.848138281762,4771.837722131428
108,4,-3183.848138281762,4771.837722131428
109,0,-3942.2985448925688,5098.565569603163
