chunk_idx,sample_idx,min_value,max_value
15,1,-4347.84888858346,6808.247376651091
15,2,-4347.84888858346,6808.247376651091
15,3,-4347.84888858346,6808.247376651091
15,4,-4347.84888858346,6808.247376651091
16,0,-3861.1510490710666,6276.529736035207
16,1,-3861.1510490710666,6276.529736035207
16,2,-3861.1510490710666,6276.529736035207
16,3,-3861.1510490710666,6276.529736035207
16,4,-3861.1510490710666,6276.529736035207
17,0,-4506.1954575783,6233.361934415508
17,1,-4506.1954575783,6233.361934415508
17,2,-4506.1954575783,6233.361934415508
17,3,-4506.1954575783,6233.361934415508
17,4,-4506.1954575783,6233.361934415508
18,0,-4332.147680749648,6504.942609419715
18,1,-4332.147680749648,6504.942609419715
18,2,-4332.147680749648,6504.942609419715
18,3,-4332.147680749648,6504.942609419715
18,4,-4332.147680749648,6504.942609419715
19,0,-4072.6860558307894,7253.48172171138
19,1,-4072.6860558307894,7253.48172171138
19,2,-4072.6860558307894,7253.48172171138
19,3,-4072.6860558307894,7253.48172171138
19,4,-4072.6860558307894,7253.48172171138
20,0,-4096.654263409087,5836.5902598381035
20,1,-4096.654263409087,5836.5902598381035
20,2,-4096.654263409087,5836.5902598381035
20,3,-4096.654263409087,5836.5902598381035
20,4,-4096.654263409087,5836.5902598381035
21,0,-3924.7150148810792,6237.659711931308
21,1,-3924.7150148810792,6237.659711931308
21,2,-3924.7150148810792,6237.659711931308
21,3,-3924.7150148810792,6237.659711931308
21,4,-3924.7150148810792,6237.659711931308
22,0,-3535.8063636094817,5674.170478892469
22,1,-3535.8063636094817,5674.170478892469
22,2,-3535.8063636094817,5674.170478892469
22,3,-3535.8063636094817,5674.170478892469
22,4,-3535.8063636094817,5674.170478892469
23,0,-3588.263420101066,5782.484513550992
23,1,-3588.263420101066,5782.484513550992
23,2,-3588.263420101066,5782.484513550992
23,3,-3588.263420101066,5782.484513550992
23,4,-3588.263420101066,5782.484513550992
24,0,-5142.50767023757,5539.644013770789
24,1,-5142.50767023757,5539.644013770789
24,2,-5142.50767023757,5539.644013770789
24,3,-5142.50767023757,5539.644013770789
24,4,-5142.50767023757,5539.644013770789
25,0,-3866.4499180383286,6841.905854185843
25,1,-3866.4499180383286,6841.905854185843
25,2,-3866.4499180383286,6841.905854185843
25,3,-3866.4499180383286,6841.905854185843
25,4,-3866.4499180383286,6841.905854185843
26,0,-3710.5712887307145,6310.852343631681
26,1,-3710.5712887307145,6310.852343631681
26,2,-3710.5712887307145,6310.852343631681
26,3,-3710.5712887307145,6310.852343631681
26,4,-3710.5712887307145,6310.852343631681
27,0,-3991.4989869808815,5563.1232778666445
27,1,-3991.4989869808815,5563.1232778666445
27,2,-3991.4989869808815,5563.1232778666445
27,3,-3991.4989869808815,5563.1232778666445
27,4,-3991.4989869808815,5563.1232778666445
28,0,-3526.2561642638225,6422.118409266092
28,1,-3526.2561642638225,6422.118409266092
28,2,-3526.2561642638225,6422.118409266092
28,3,-3526.2561642638225,6422.118409266092
28,4,-3526.2561642638225,6422.118409266092
29,0,-3683.737241531396,5856.3284737205995
29,1,-3683.737241531396,5856.3284737205995
29,2,-3683.737241531396,5856.3284737205995
29,3,-3683.737241531396,5856.3284737205995
29,4,-3683.737241531396,5856.3284737205995
30,0,-3302.5490950702733,5318.22538827156
30,1,-3302.5490950702733,5318.22538827156
30,2,-3302.5490950702733,5318.22538827156
30,3,-3302.5490950702733,5318.22538827156
30,4,-3302.5490950702733,5318.22538827156
31,0,-3026.885782004216,5275.579100474179
31,1,-3026.885782004216,5275.579100474179
31,2,-3026.885782004216,5275.579100474179
31,3,-3026.885782004216,5275.579100474179
31,4,-3026.885782004216,5275.579100474179
32,0,-7796.24366175578,7225.587747388232
32,1,-7796.24366175578,7225.587747388232
32,2,-7796.24366175578,7225.587747388232
32,3,-7796.24366175578,7225.587747388232
32,4,-7796.24366175578,7225.587747388232
33,0,-4657.528940571925,6806.680440289108
33,1,-4657.528940571925,6806.680440289108
33,2,-4657.528940571925,6806.680440289108
33,3,-4657.528940571925,6806.680440289108
33,4,-4657.528940571925,6806.680440289108
34,0,-3664.576189078784,6713.396536177284
34,1,-3664.576189078784,6713.396536177284
34,2,-3664.576189078784,6713.396536177284
34,3,-3664.576189078784,6713.396536177284
34,4,-3664.576189078784,6713.396536177284
35,0,-4549.470837600404,7861.472398563933
35,1,-4549.470837600404,7861.472398563933
35,2,-4549.470837600404,7861.472398563933
35,3,-4549.470837600404,7861.472398563933
35,4,-4549.470837600404,7861.472398563933
36,0,-4407.412989354403,7511.855572597169
36,1,-4407.412989354403,7511.855572597169
36,2,-4407.412989354403,7511.855572597169
36,3,-4407.412989354403,7511.855572597169
36,4,-4407.412989354403,7511.855572597169
37,0,-4396.791409291973,5913.052515273128
37,1,-4396.791409291973,5913.052515273128
37,2,-4396.791409291973,5913.052515273128
37,3,-4396.791409291973,5913.052515273128
37,4,-4396.791409291973,5913.052515273128
38,0,-2886.906987128565,5363.308521432367
38,1,-2886.906987128565,5363.308521432367
38,2,-2886.906987128565,5363.308521432367
38,3,-2886.906987128565,5363.308521432367
38,4,-2886.906987128565,5363.308521432367
39,0,-3287.8370764900687,5622.044045343558
39,1,-3287.8370764900687,5622.044045343558
39,2,-3287.8370764900687,5622.044045343558
39,3,-3287.8370764900687,5622.044045343558
39,4,-3287.8370764900687,5622.044045343558
40,0,-3264.7156676079676,5440.51297084764
40,1,-3264.7156676079676,5440.51297084764
40,2,-3264.7156676079676,5440.51297084764
40,3,-3264.7156676079676,5440.51297084764
40,4,-3264.7156676079676,5440.51297084764
41,0,-4873.61190646539,6544.286709530064
41,1,-4873.61190646539,6544.286709530064
41,2,-4873.61190646539,6544.286709530064
41,3,-4873.61190646539,6544.286709530064
41,4,-4873.61190646539,6544.286709530064
42,0,-5363.257791824392,6668.157571463227
42,1,-5363.257791824392,6668.157571463227
42,2,-5363.257791824392,6668.157571463227
42,3,-5363.257791824392,6668.157571463227
42,4,-5363.257791824392,6668.157571463227
43,0,-3371.857143180092,5791.377245501565
43,1,-3371.857143180092,5791.377245501565
43,2,-3371.857143180092,5791.377245501565
43,3,-3371.857143180092,5791.377245501565
43,4,-3371.857143180092,5791.377245501565
44,0,-3606.209621138259,5617.5264201868895
44,1,-3606.209621138259,5617.5264201868895
44,2,-3606.209621138259,5617.5264201868895
44,3,-3606.209621138259,5617.5264201868895
44,4,-3606.209621138259,5617.5264201868895
45,0,-4267.711679770278,6197.956930045779
45,1,-4267.711679770278,6197.956930045779
45,2,-4267.711679770278,6197.956930045779
45,3,-4267.711679770278,6197.956930045779
45,4,-4267.711679770278,6197.956930045779
46,0,-3363.02101081746,5889.200049187997
46,1,-3363.02101081746,5889.200049187997
46,2,-3363.02101081746,5889.200049187997
46,3,-3363.02101081746,5889.200049187997
46,4,-3363.02101081746,5889.200049187997
47,0,-4286.903558505106,6091.19351906572
47,1,-4286.903558505106,6091.19351906572
47,2,-4286.903558505106,6091.19351906572
47,3,-4286.903558505106,6091.19351906572
47,4,-4286.903558505106,6091.19351906572
48,0,-3154.255995494571,5074.318147328103
48,1,-3154.255995494571,5074.318147328103
48,2,-3154.255995494571,5074.318147328103
48,3,-3154.255995494571,5074.318147328103
48,4,-3154.255995494571,5074.318147328103
49,0,-3429.094656578113,5525.18791589439
49,1,-3429.094656578113,5525.18791589439
49,2,-3429.094656578113,5525.18791589439
49,3,-3429.094656578113,5525.18791589439
49,4,-3429.094656578113,5525.18791589439
50,0,-3399.588719319236,5381.754951101155
50,1,-3399.588719319236,5381.754951101155
50,2,-3399.588719319236,5381.754951101155
50,3,-3399.588719319236,5381.754951101155
50,4,-3399.588719319236,5381.754951101155
51,0,-3462.214527835644,5614.559848308021
51,1,-3462.214527835644,5614.559848308021
51,2,-3462.214527835644,5614.559848308021
51,3,-3462.214527835644,5614.559848308021
51,4,-3462.214527835644,5614.559848308021
52,0,-3331.690469313208,5298.440508363214
52,1,-3331.690469313208,5298.440508363214
52,2,-3331.690469313208,5298.440508363214
52,3,-3331.690469313208,5298.440508363214
52,4,-3331.690469313208,5298.440508363214
53,0,-3895.9244688431254,6383.989914959498
53,1,-3895.9244688431254,6383.989914959498
53,2,-3895.9244688431254,6383.989914959498
53,3,-3895.9244688431254,6383.989914959498
53,4,-3895.9244688431254,6383.989914959498
54,0,-5103.629624651448,7267.398917890182
54,1,-5103.629624651448,7267.398917890182
54,2,-5103.629624651448,7267.398917890182
54,3,-5103.629624651448,7267.398917890182
54,4,-5103.629624651448,7267.398917890182
55,0,-3631.8441705116825,5972.346745861666
55,1,-3631.8441705116825,5972.346745861666
55,2,-3631.8441705116825,5972.346745861666
55,3,-3631.8441705116825,5972.346745861666
55,4,-3631.8441705116825,5972.346745861666
56,0,-3604.1509167341264,6344.923379771924
56,1,-3604.1509167341264,6344.923379771924
56,2,-3604.1509167341264,6344.923379771924
56,3,-3604.1509167341264,6344.923379771924
56,4,-3604.1509167341264,6344.923379771924
57,0,-3876.3493371491545,6871.556563821494
57,1,-3876.3493371491545,6871.556563821494
57,2,-3876.3493371491545,6871.556563821494
57,3,-3876.3493371491545,6871.556563821494
57,4,-3876.3493371491545,6871.556563821494
58,0,-3398.1844085472007,6477.2679245592635
58,1,-3398.1844085472007,6477.2679245592635
58,2,-3398.1844085472007,6477.2679245592635
58,3,-3398.1844085472007,6477.2679245592635
58,4,-3398.1844085472007,6477.2679245592635
59,0,-6374.000356625122,6360.743238828058
59,1,-6374.000356625122,6360.743238828058
59,2,-6374.000356625122,6360.743238828058
59,3,-6374.000356625122,6360.743238828058
59,4,-6374.000356625122,6360.743238828058
60,0,-3450.333578061727,5986.9932371109035
60,1,-3450.333578061727,5986.9932371109035
60,2,-3450.333578061727,5986.9932371109035
60,3,-3450.333578061727,5986.9932371109035
60,4,-3450.333578061727,5986.9932371109035
61,0,-3510.2713896895616,5803.714446786469
61,1,-3510.2713896895616,5803.714446786469
61,2,-3510.2713896895616,5803.714446786469
61,3,-3510.2713896895616,5803.714446786469
61,4,-3510.2713896895616,5803.714446786469
62,0,-3592.4293370835862,6224.169004731053
62,1,-3592.4293370835862,6224.169004731053
62,2,-3592.4293370835862,6224.169004731053
62,3,-3592.4293370835862,6224.169004731053
62,4,-3592.4293370835862,6224.169004731053
63,0,-3912.9119598352654,6039.332879736111
63,1,-3912.9119598352654,6039.332879736111
63,2,-3912.9119598352654,6039.332879736111
63,3,-3912.9119598352654,6039.332879736111
63,4,-3912.9119598352654,6039.332879736111
64,0,-3767.464220023156,6707.870588943538
64,1,-3767.464220023156,6707.870588943538
64,2,-3767.464220023156,6707.870588943538
64,3,-3767.464220023156,6707.870588943538
64,4,-3767.464220023156,6707.870588943538
65,0,-3740.0984101710815,5403.055780918321
65,1,-3740.0984101710815,5403.055780918321
65,2,-3740.0984101710815,5403.055780918321
65,3,-3740.0984101710815,5403.055780918321
65,4,-3740.0984101710815,5403.055780918321
66,0,-4362.775158636322,5425.6711725831565
66,1,-4362.775158636322,5425.6711725831565
66,2,-4362.775158636322,5425.6711725831565
66,3,-4362.775158636322,5425.6711725831565
66,4,-4362.775158636322,5425.6711725831565
67,0,-3343.2726631712712,5747.553768234548
67,1,-3343.2726631712712,5747.553768234548
67,2,-3343.2726631712712,5747.553768234548
67,3,-3343.2726631712712,5747.553768234548
67,4,-3343.2726631712712,5747.553768234548
68,0,-3472.0554751822906,6154.9966357476205
68,1,-3472.0554751822906,6154.9966357476205
68,2,-3472.0554751822906,6154.9966357476205
68,3,-3472.0554751822906,6154.9966357476205
68,4,-3472.0554751822906,6154.9966357476205
69,0,-3755.412009952584,5339.272549569488
69,1,-3755.412009952584,5339.272549569488
69,2,-3755.412009952584,5339.272549569488
69,3,-3755.412009952584,5339.272549569488
69,4,-3755.412009952584,5339.272549569488
70,0,-3602.000861955021,6318.449996724203
70,1,-3602.000861955021,6318.449996724203
70,2,-3602.000861955021,6318.449996724203
70,3,-3602.000861955021,6318.449996724203
70,4,-3602.000861955021,6318.449996724203
71,0,-3123.432290137665,5490.416497210755
71,1,-3123.432290137665,5490.416497210755
71,2,-3123.432290137665,5490.416497210755
71,3,-3123.432290137665,5490.416497210755
71,4,-3123.432290137665,5490.416497210755
72,0,-3657.73755327776,6088.9155733832895
72,1,-3657.73755327776,6088.9155733832895
72,2,-3657.73755327776,6088.9155733832895
72,3,-3657.73755327776,6088.9155733832895
72,4,-3657.73755327776,6088.9155733832895
73,0,-3800.6231024837616,5447.214949890502
73,1,-3800.6231024837616,5447.214949890502
73,2,-3800.6231024837616,5447.214949890502
73,3,-3800.6231024837616,5447.214949890502
73,4,-3800.6231024837616,5447.214949890502
74,0,-3493.839966969188,5628.96737272069
74,1,-3493.839966969188,5628.96737272069
74,2,-3493.839966969188,5628.96737272069
